Recency,Frequency,Monetary,R,F,M
30,2,9741,1,1,4
46,1,3995,1,1,2
14,7,16239,4,5,5
40,1,1419,1,1,1
15,9,11196,4,5,4
1,7,8191,5,5,3
32,3,11817,1,2,4
4,2,4568,5,1,2
21,8,3124,2,5,1
38,1,2380,1,1,1
10,8,14307,5,5,5
21,5,9905,2,4,4
12,4,8732,5,3,3
23,5,4551,2,4,2
5,4,10673,5,3,4
17,3,5889,3,2,2
15,4,10080,4,3,4
12,6,714,5,4,1
23,8,17930,2,5,5
12,8,13443,5,5,4
18,3,4227,3,2,2
20,5,8073,2,4,3
10,5,15323,5,4,5
12,4,850,5,3,1
21,6,11636,2,4,4
20,5,3422,2,4,1
11,5,12584,5,4,4
14,7,13772,4,5,5
10,6,14745,5,4,5
45,1,2779,1,1,1
31,1,6381,1,1,2
21,4,4308,2,3,2
16,6,22854,3,4,5
16,6,25048,3,4,5
22,2,2408,2,1,1
12,2,3100,5,1,1
11,5,10738,5,4,4
16,2,7948,3,1,3
11,4,3569,5,3,1
29,1,2274,1,1,1
14,4,5152,4,3,2
12,3,8593,5,2,3
15,5,7989,4,4,3
14,3,2681,4,2,1
12,5,20255,5,4,5
21,4,10065,2,3,4
20,8,21094,2,5,5
13,5,16391,4,4,5
12,5,11120,5,4,4
14,3,4853,4,2,2
11,7,12990,5,5,4
23,4,8097,2,3,3
24,2,2863,2,1,1
24,3,3694,2,2,1
17,1,393,3,1,1
17,2,3400,3,1,1
22,6,6508,2,4,2
19,5,7374,2,4,3
7,5,11485,5,4,4
11,6,11122,5,4,4
15,3,877,4,2,1
22,4,10417,2,3,4
19,2,6537,2,1,2
2,8,10590,5,5,4
9,7,8316,5,5,3
12,6,12646,5,4,4
23,2,2835,2,1,1
14,3,13295,4,2,4
35,2,6874,1,1,3
25,6,7627,2,4,3
16,4,6143,3,3,2
15,4,3906,4,3,2
24,3,3867,2,2,2
31,6,14076,1,4,5
18,2,1392,3,1,1
19,1,1288,2,1,1
14,7,18877,4,5,5
22,6,16594,2,4,5
24,2,6340,2,1,2
10,5,14205,5,4,5
16,7,10014,3,5,4
36,1,845,1,1,1
13,6,9889,4,4,4
31,4,10424,1,3,4
16,4,12175,3,3,4
28,6,5160,1,4,2
25,5,10882,2,4,4
33,1,1668,1,1,1
17,7,3184,3,5,1
29,4,10468,1,3,4
33,3,7460,1,2,3
14,7,14253,4,5,5
17,3,8988,3,2,3
16,7,22837,3,5,5
26,4,1677,1,3,1
14,5,13834,4,4,5
21,3,7150,2,2,3
17,2,8087,3,1,3
16,2,6441,3,1,2
15,8,25817,4,5,5
13,2,8506,4,1,3
10,4,7351,5,3,3
14,4,16145,4,3,5
18,7,16137,3,5,5
13,5,9375,4,4,3
13,5,8239,4,4,3
23,3,10727,2,2,4
10,7,9877,5,5,4
31,6,12615,1,4,4
16,4,4373,3,3,2
17,7,11114,3,5,4
23,3,5447,2,2,2
16,2,6431,3,1,2
20,3,6342,2,2,2
22,3,7248,2,2,3
31,5,9494,1,4,3
16,5,15793,3,4,5
26,4,5812,1,3,2
15,7,13927,4,5,5
19,5,3274,2,4,1
17,6,8793,3,4,3
20,3,11021,2,2,4
19,4,6083,2,3,2
20,4,13789,2,3,5
20,5,9989,2,4,4
17,12,6182,3,5,2
13,6,19064,4,4,5
31,4,6580,1,3,2
13,8,16329,4,5,5
5,6,10053,5,4,4
12,3,4455,5,2,2
21,8,7456,2,5,3
39,2,4274,1,1,2
28,4,7449,1,3,3
18,5,3338,3,4,1
12,2,5186,5,1,2
11,8,10739,5,5,4
16,5,12304,3,4,4
20,2,7112,2,1,3
16,5,18602,3,4,5
16,5,7142,3,4,3
25,1,1582,2,1,1
17,5,10180,3,4,4
25,4,6256,2,3,2
12,4,5517,5,3,2
13,6,14285,4,4,5
21,1,4349,2,1,2
14,7,12257,4,5,4
13,8,13355,4,5,4
12,3,3151,5,2,1
15,3,2897,4,2,1
14,6,21817,4,4,5
28,1,1326,1,1,1
12,8,13555,5,5,4
20,4,15561,2,3,5
16,2,5062,3,1,2
12,9,9244,5,5,3
22,7,11187,2,5,4
2,4,5331,5,3,2
13,2,5071,4,1,2
10,4,13140,5,3,4
13,4,10989,4,3,4
30,4,840,1,3,1
15,3,1184,4,2,1
0,8,23679,5,5,5
12,4,4734,5,3,2
15,4,17249,4,3,5
4,7,3707,5,5,1
11,3,1611,5,2,1
22,5,5526,2,4,2
15,5,6302,4,4,2
15,4,9861,4,3,4
18,5,13782,3,4,5
37,4,8771,1,3,3
10,3,4455,5,2,2
2,5,10403,5,4,4
13,6,11564,4,4,4
33,1,5790,1,1,2
11,4,10617,5,3,4
34,3,4160,1,2,2
15,3,9930,4,2,4
20,6,18516,2,4,5
14,2,3635,4,1,1
10,3,6618,5,2,3
13,3,6610,4,2,2
12,8,8469,5,5,3
30,3,5286,1,2,2
18,3,5054,3,2,2
26,7,16773,1,5,5
16,5,6738,3,4,3
36,3,10124,1,2,4
36,2,1655,1,1,1
28,3,7137,1,2,3
28,4,682,1,3,1
10,5,9961,5,4,4
27,4,7462,1,3,3
10,2,1632,5,1,1
12,8,9415,5,5,3
46,1,751,1,1,1
32,2,4159,1,1,2
13,7,16155,4,5,5
38,3,1530,1,2,1
13,3,364,4,2,1
33,1,1181,1,1,1
21,5,21117,2,4,5
12,5,5889,5,4,2
25,4,5856,2,3,2
11,2,5620,5,1,2
13,3,5182,4,2,2
24,5,9170,2,4,3
18,3,7837,3,2,3
13,4,2528,4,3,1
34,1,3259,1,1,1
14,2,5066,4,1,2
10,3,6404,5,2,2
19,7,7468,2,5,3
2,1,3787,5,1,1
22,2,3720,2,1,1
13,5,11946,4,4,4
25,2,2843,2,1,1
17,6,5070,3,4,2
17,3,1011,3,2,1
11,6,7300,5,4,3
41,2,5380,1,1,2
13,5,13681,4,4,4
17,4,12240,3,3,4
28,1,954,1,1,1
15,7,20366,4,5,5
13,4,10128,4,3,4
11,13,14911,5,5,5
19,2,5165,2,1,2
20,4,7265,2,3,3
14,4,14243,4,3,5
13,4,6671,4,3,3
15,4,3443,4,3,1
19,3,13378,2,2,4
16,3,6441,3,2,2
12,5,7824,5,4,3
15,3,10663,4,2,4
25,2,7275,2,1,3
29,6,21402,1,4,5
10,5,8255,5,4,3
30,2,5144,1,1,2
38,3,6722,1,2,3
19,5,11068,2,4,4
38,1,3397,1,1,1
16,5,11016,3,4,4
32,2,7616,1,1,3
2,3,12153,5,2,4
11,7,11771,5,5,4
15,4,10946,4,3,4
17,2,6100,3,1,2
14,4,8065,4,3,3
18,4,7940,3,3,3
32,3,9452,1,2,3
10,4,14595,5,3,5
30,2,6268,1,1,2
15,7,6780,4,5,3
16,4,4554,3,3,2
12,9,12794,5,5,4
11,4,3089,5,3,1
23,2,9551,2,1,3
10,6,479,5,4,1
17,4,18961,3,3,5
32,2,1520,1,1,1
20,4,8936,2,3,3
18,2,3247,3,1,1
12,10,27321,5,5,5
21,2,4563,2,1,2
15,5,17306,4,4,5
11,9,16649,5,5,5
20,5,12767,2,4,4
12,8,15250,5,5,5
15,3,3679,4,2,1
12,5,18577,5,4,5
13,4,995,4,3,1
11,4,10474,5,3,4
12,3,10016,5,2,4
32,3,8232,1,2,3
27,3,1922,1,2,1
11,3,5795,5,2,2
17,6,14157,3,4,5
12,2,7242,5,1,3
11,4,21858,5,3,5
15,6,11279,4,4,4
18,3,6163,3,2,2
31,4,17356,1,3,5
1,9,25852,5,5,5
12,3,733,5,2,1
24,4,2024,2,3,1
12,8,12196,5,5,4
22,3,2930,2,2,1
6,4,10569,5,3,4
28,3,3785,1,2,1
12,6,23524,5,4,5
8,2,8203,5,1,3
14,3,5258,4,2,2
1,3,1204,5,2,1
17,6,20401,3,4,5
19,6,22641,2,4,5
11,4,9027,5,3,3
15,3,13445,4,2,4
14,7,21472,4,5,5
15,2,8572,4,1,3
15,6,21686,4,4,5
8,7,14654,5,5,5
15,4,16768,4,3,5
10,11,17327,5,5,5
29,3,10551,1,2,4
13,8,2221,4,5,1
33,5,12959,1,4,4
20,4,2910,2,3,1
21,2,6895,2,1,3
14,3,12413,4,2,4
16,3,4239,3,2,2
12,9,20972,5,5,5
32,2,9623,1,1,3
2,3,4103,5,2,2
21,5,7463,2,4,3
14,4,6006,4,3,2
10,9,19790,5,5,5
44,1,760,1,1,1
17,5,5383,3,4,2
1,2,8139,5,1,3
29,1,2350,1,1,1
27,3,12109,1,2,4
27,4,4795,1,3,2
44,1,1732,1,1,1
2,5,13472,5,4,4
18,3,4043,3,2,2
23,6,13824,2,4,5
21,6,14648,2,4,5
16,3,6444,3,2,2
18,3,10940,3,2,4
18,2,6571,3,1,2
17,4,15104,3,3,5
23,4,7020,2,3,3
37,1,1966,1,1,1
12,3,4731,5,2,2
13,6,4059,4,4,2
19,4,4223,2,3,2
32,3,575,1,2,1
12,9,15808,5,5,5
11,5,813,5,4,1
18,5,11662,3,4,4
2,7,12737,5,5,4
4,3,11279,5,2,4
15,4,16187,4,3,5
11,6,14976,5,4,5
22,2,5423,2,1,2
20,7,8191,2,5,3
17,7,16304,3,5,5
7,7,3100,5,5,1
13,7,12275,4,5,4
15,3,6144,4,2,2
9,3,6762,5,2,3
15,4,10129,4,3,4
10,1,3739,5,1,1
17,5,5885,3,4,2
15,5,7666,4,4,3
10,5,5123,5,4,2
19,7,10574,2,5,4
15,8,9989,4,5,4
10,3,9211,5,2,3
10,6,6870,5,4,3
8,5,10318,5,4,4
25,2,3218,2,1,1
17,4,19146,3,3,5
21,3,2772,2,2,1
26,3,4129,1,2,2
38,3,198,1,2,1
14,2,8453,4,1,3
24,5,11582,2,4,4
14,3,14612,4,2,5
21,3,1003,2,2,1
21,4,2331,2,3,1
40,1,4026,1,1,2
12,3,3752,5,2,1
13,6,13176,4,4,4
15,2,2490,4,1,1
45,1,1374,1,1,1
30,3,5037,1,2,2
12,5,9069,5,4,3
6,5,14242,5,4,5
17,9,8177,3,5,3
12,6,20832,5,4,5
26,1,2797,1,1,1
30,5,20754,1,4,5
16,5,10771,3,4,4
14,6,15970,4,4,5
13,6,7678,4,4,3
26,3,13359,1,2,4
0,4,6676,5,3,3
14,1,2649,4,1,1
34,3,7606,1,2,3
33,3,8395,1,2,3
30,3,13867,1,2,5
0,3,4540,5,2,2
15,1,2224,4,1,1
16,2,7712,3,1,3
18,8,14088,3,5,5
25,1,4481,2,1,2
14,2,7207,4,1,3
12,4,7927,5,3,3
16,3,6894,3,2,3
19,3,1931,2,2,1
15,5,15891,4,4,5
25,1,4813,2,1,2
10,3,8439,5,2,3
26,5,9579,1,4,3
13,5,12342,4,4,4
20,4,10168,2,3,4
17,3,4502,3,2,2
11,3,5939,5,2,2
14,5,12268,4,4,4
15,5,4852,4,4,2
25,6,14374,2,4,5
31,4,8169,1,3,3
22,3,8380,2,2,3
12,4,13603,5,3,4
10,4,23314,5,3,5
19,7,5923,2,5,2
19,1,455,2,1,1
14,3,5770,4,2,2
14,5,8956,4,4,3
41,1,428,1,1,1
11,6,15347,5,4,5
26,5,8932,1,4,3
21,5,22387,2,4,5
19,5,5484,2,4,2
12,6,18908,5,4,5
16,5,17236,3,4,5
12,4,26747,5,3,5
27,3,3247,1,2,1
25,4,4803,2,3,2
21,5,13527,2,4,4
14,3,9035,4,2,3
10,9,26430,5,5,5
18,8,8836,3,5,3
10,5,7414,5,4,3
24,3,5925,2,2,2
16,5,8693,3,4,3
26,6,6689,1,4,3
21,4,10090,2,3,4
36,3,10688,1,2,4
15,5,7785,4,4,3
32,3,9909,1,2,4
17,2,2690,3,1,1
33,4,9044,1,3,3
20,2,5331,2,1,2
45,3,2510,1,2,1
14,7,18240,4,5,5
12,2,8346,5,1,3
20,5,10554,2,4,4
14,3,13047,4,2,4
18,4,7046,3,3,3
10,4,12569,5,3,4
30,3,6063,1,2,2
18,7,29063,3,5,5
1,8,10931,5,5,4
20,8,3931,2,5,2
11,5,3649,5,4,1
21,5,12957,2,4,4
16,6,13200,3,4,4
17,2,5697,3,1,2
19,7,15887,2,5,5
12,6,8328,5,4,3
17,4,12820,3,3,4
17,4,8173,3,3,3
15,4,16950,4,3,5
17,2,4833,3,1,2
2,6,16948,5,4,5
17,9,20494,3,5,5
12,4,11640,5,3,4
22,4,5056,2,3,2
14,5,16994,4,4,5
11,10,25452,5,5,5
28,4,13884,1,3,5
21,4,11768,2,3,4
21,3,4229,2,2,2
45,2,3488,1,1,1
13,5,16647,4,4,5
25,6,4541,2,4,2
46,1,4770,1,1,2
15,4,16792,4,3,5
23,2,1880,2,1,1
24,4,9339,2,3,3
14,5,14952,4,4,5
1,5,15019,5,4,5
12,4,7752,5,3,3
11,11,16506,5,5,5
42,1,5109,1,1,2
16,4,13036,3,3,4
14,5,16769,4,4,5
27,2,4406,1,1,2
6,3,10878,5,2,4
10,6,11087,5,4,4
0,10,24098,5,5,5
4,7,14120,5,5,5
30,3,6406,1,2,2
14,9,22315,4,5,5
12,1,7514,5,1,3
15,10,6389,4,5,2
8,8,18127,5,5,5
16,2,6718,3,1,3
15,3,4153,4,2,2
15,4,9063,4,3,3
18,7,16561,3,5,5
15,2,4464,4,1,2
17,2,4784,3,1,2
12,3,5393,5,2,2
18,12,22737,3,5,5
11,4,5587,5,3,2
15,5,8689,4,4,3
29,4,3701,1,3,1
14,3,9511,4,2,3
14,8,9213,4,5,3
19,4,15573,2,3,5
17,1,3500,3,1,1
15,5,11078,4,4,4
10,4,17820,5,3,5
25,8,8921,2,5,3
17,6,24026,3,4,5
12,7,11073,5,5,4
12,8,9034,5,5,3
17,5,15290,3,4,5
20,2,5860,2,1,2
4,7,16199,5,5,5
18,4,5675,3,3,2
26,2,8890,1,1,3
9,6,5653,5,4,2
14,3,8436,4,2,3
10,4,6926,5,3,3
30,2,6437,1,1,2
19,7,21427,2,5,5
21,1,3721,2,1,1
38,3,13231,1,2,4
12,5,7160,5,4,3
8,3,6838,5,2,3
13,3,7072,4,2,3
34,7,8062,1,5,3
23,2,3633,2,1,1
19,4,17979,2,3,5
26,4,9328,1,3,3
12,4,3228,5,3,1
6,8,10293,5,5,4
4,5,13012,5,4,4
12,5,14528,5,4,5
20,3,6338,2,2,2
15,2,2882,4,1,1
12,10,18193,5,5,5
13,3,9047,4,2,3
13,5,2134,4,4,1
14,8,13266,4,5,4
23,2,6301,2,1,2
16,4,12528,3,3,4
17,5,6929,3,4,3
14,3,12293,4,2,4
24,3,8777,2,2,3
14,3,4470,4,2,2
12,7,12858,5,5,4
14,8,23422,4,5,5
44,1,1457,1,1,1
29,4,9154,1,3,3
22,2,7217,2,1,3
18,6,12117,3,4,4
18,4,9007,3,3,3
10,5,16405,5,4,5
34,6,12341,1,4,4
15,6,12349,4,4,4
12,5,9266,5,4,3
12,4,5370,5,3,2
11,2,8877,5,1,3
19,2,5420,2,1,2
25,4,942,2,3,1
24,5,9361,2,4,3
14,2,980,4,1,1
10,7,13342,5,5,4
11,5,14855,5,4,5
25,4,10020,2,3,4
26,2,7497,1,1,3
14,4,3347,4,3,1
36,2,6742,1,1,3
12,6,18324,5,4,5
20,4,8967,2,3,3
26,4,5213,1,3,2
18,2,9210,3,1,3
8,9,11048,5,5,4
15,4,10785,4,3,4
0,5,10215,5,4,4
11,7,10221,5,5,4
23,3,8288,2,2,3
21,6,13658,2,4,4
12,3,9964,5,2,4
7,7,11498,5,5,4
11,5,7031,5,4,3
21,3,3655,2,2,1
20,4,3703,2,3,1
11,4,3885,5,3,2
25,6,4026,2,4,2
14,2,4033,4,1,2
13,3,5928,4,2,2
21,3,3614,2,2,1
10,10,25540,5,5,5
10,10,8445,5,5,3
20,5,11899,2,4,4
11,7,6876,5,5,3
0,3,7922,5,2,3
13,4,11898,4,3,4
12,3,607,5,2,1
13,3,3381,4,2,1
16,4,9779,3,3,4
13,3,5975,4,2,2
16,2,1499,3,1,1
47,1,861,1,1,1
20,4,13809,2,3,5
10,8,13935,5,5,5
45,2,2631,1,1,1
27,4,4397,1,3,2
14,4,5099,4,3,2
14,2,6806,4,1,3
1,5,15790,5,4,5
14,3,3328,4,2,1
11,7,20861,5,5,5
19,4,4428,2,3,2
15,4,8317,4,3,3
13,3,1727,4,2,1
31,1,2625,1,1,1
25,1,734,2,1,1
34,1,1655,1,1,1
32,1,110,1,1,1
37,1,1365,1,1,1
25,3,4779,2,2,2
18,3,1096,3,2,1
1,4,13145,5,3,4
14,3,6791,4,2,3
10,5,3139,5,4,1
21,7,11624,2,5,4
24,6,9517,2,4,3
16,4,17499,3,3,5
37,2,3707,1,1,1
16,2,8414,3,1,3
12,4,8732,5,3,3
23,6,15693,2,4,5
11,13,10054,5,5,4
23,1,6585,2,1,2
14,7,27338,4,5,5
10,3,7080,5,2,3
21,8,8027,2,5,3
13,3,13331,4,2,4
12,6,13359,5,4,4
16,3,7480,3,2,3
17,2,6749,3,1,3
27,5,6316,1,4,2
15,4,13820,4,3,5
14,8,8802,4,5,3
14,6,4000,4,4,2
28,2,3549,1,1,1
15,10,10094,4,5,4
24,4,13725,2,3,5
21,3,6477,2,2,2
13,5,13331,4,4,4
11,4,7607,5,3,3
20,1,573,2,1,1
16,5,6474,3,4,2
17,5,11906,3,4,4
16,6,8086,3,4,3
40,3,5709,1,2,2
14,6,17570,4,4,5
15,4,9105,4,3,3
19,5,12315,2,4,4
18,3,9114,3,2,3
16,4,1693,3,3,1
34,2,3270,1,1,1
12,6,13585,5,4,4
14,6,4137,4,4,2
21,6,8664,2,4,3
22,6,12909,2,4,4
13,4,8070,4,3,3
14,6,21959,4,4,5
12,7,14761,5,5,5
21,5,9821,2,4,4
14,2,5028,4,1,2
26,3,10388,1,2,4
12,3,5516,5,2,2
21,5,11951,2,4,4
18,6,15071,3,4,5
16,7,8054,3,5,3
13,4,12900,4,3,4
23,3,4884,2,2,2
12,5,10959,5,4,4
12,5,11168,5,4,4
12,5,12758,5,4,4
12,4,15686,5,3,5
11,7,14425,5,5,5
15,3,3635,4,2,1
6,1,760,5,1,1
18,6,12124,3,4,4
16,7,22192,3,5,5
32,3,3431,1,2,1
16,3,11637,3,2,4
22,6,18628,2,4,5
31,2,3457,1,1,1
11,8,21834,5,5,5
9,3,13397,5,2,4
36,2,5793,1,1,2
19,8,14168,2,5,5
12,7,9659,5,5,4
15,6,17350,4,4,5
12,3,5975,5,2,2
26,7,4492,1,5,2
23,6,10887,2,4,4
20,2,1416,2,1,1
21,2,7036,2,1,3
12,9,16594,5,5,5
47,1,2168,1,1,1
26,1,1836,1,1,1
17,4,5229,3,3,2
12,4,5464,5,3,2
12,7,10868,5,5,4
13,3,3139,4,2,1
15,5,19312,4,4,5
10,5,16971,5,4,5
27,6,13285,1,4,4
32,2,3787,1,1,1
15,5,10587,4,4,4
19,6,10135,2,4,4
11,5,12862,5,4,4
36,1,1363,1,1,1
15,5,10653,4,4,4
29,1,3374,1,1,1
26,2,6478,1,1,2
14,8,15212,4,5,5
42,1,2347,1,1,1
16,4,1201,3,3,1
22,3,2550,2,2,1
18,6,9811,3,4,4
11,4,5759,5,3,2
42,2,3342,1,1,1
43,3,3132,1,2,1
12,6,7567,5,4,3
18,3,5227,3,2,2
22,5,9781,2,4,4
1,7,10362,5,5,4
14,6,17025,4,4,5
12,4,6618,5,3,3
20,3,7417,2,2,3
18,7,11084,3,5,4
24,8,22188,2,5,5
16,3,9204,3,2,3
11,5,1989,5,4,1
14,5,15099,4,4,5
33,1,1089,1,1,1
39,1,633,1,1,1
17,2,6992,3,1,3
18,3,6074,3,2,2
14,1,904,4,1,1
30,6,9631,1,4,3
14,5,6796,4,4,3
14,8,17114,4,5,5
16,2,7404,3,1,3
38,2,4278,1,1,2
15,8,14536,4,5,5
14,2,5013,4,1,2
17,5,13810,3,4,5
16,3,1077,3,2,1
15,1,243,4,1,1
17,6,8177,3,4,3
11,8,19910,5,5,5
11,9,10641,5,5,4
14,7,12693,4,5,4
13,6,15779,4,4,5
23,1,950,2,1,1
21,9,10559,2,5,4
14,3,7560,4,2,3
14,7,3121,4,5,1
14,8,19566,4,5,5
36,3,7931,1,2,3
18,4,20078,3,3,5
21,1,3187,2,1,1
13,4,10647,4,3,4
13,3,7606,4,2,3
17,2,5494,3,1,2
13,7,6448,4,5,2
39,1,6221,1,1,2
12,4,10127,5,3,4
29,3,288,1,2,1
3,5,11250,5,4,4
30,5,7066,1,4,3
29,1,371,1,1,1
20,5,15688,2,4,5
36,3,17968,1,2,5
29,5,1937,1,4,1
11,5,8080,5,4,3
17,10,17310,3,5,5
16,5,17987,3,4,5
25,2,2059,2,1,1
13,6,10305,4,4,4
12,4,17515,5,3,5
18,4,8371,3,3,3
20,3,12483,2,2,4
22,4,18579,2,3,5
42,1,654,1,1,1
17,2,10228,3,1,4
23,2,1440,2,1,1
14,6,18375,4,4,5
12,3,8049,5,2,3
15,8,26492,4,5,5
28,3,4488,1,2,2
9,10,14308,5,5,5
13,2,3244,4,1,1
9,9,20549,5,5,5
25,3,8329,2,2,3
13,5,5883,4,4,2
16,3,13446,3,2,4
8,4,8361,5,3,3
0,3,4843,5,2,2
13,8,13376,4,5,4
23,9,16684,2,5,5
22,6,23001,2,4,5
13,4,10809,4,3,4
22,6,15651,2,4,5
17,6,16654,3,4,5
17,6,5153,3,4,2
14,3,6632,4,2,3
26,5,5187,1,4,2
13,4,7806,4,3,3
30,2,4862,1,1,2
11,7,19747,5,5,5
42,2,4302,1,1,2
12,4,7308,5,3,3
18,8,19196,3,5,5
20,4,19905,2,3,5
15,6,4092,4,4,2
5,1,544,5,1,1
19,3,7775,2,2,3
19,7,12742,2,5,4
20,3,11091,2,2,4
18,6,10803,3,4,4
13,1,4225,4,1,2
31,1,2892,1,1,1
11,6,4825,5,4,2
0,6,5791,5,4,2
19,5,8819,2,4,3
11,2,8959,5,1,3
12,2,4534,5,1,2
31,2,2492,1,1,1
12,6,16337,5,4,5
16,6,15358,3,4,5
12,4,11713,5,3,4
23,3,12129,2,2,4
0,6,15507,5,4,5
12,3,13732,5,2,5
27,2,11659,1,1,4
3,9,8638,5,5,3
12,2,6088,5,1,2
11,4,10761,5,3,4
11,4,7384,5,3,3
41,1,1167,1,1,1
6,2,6879,5,1,3
12,10,11385,5,5,4
15,7,10051,4,5,4
14,3,3201,4,2,1
12,4,6824,5,3,3
26,4,6797,1,3,3
16,8,12529,3,5,4
16,4,4402,3,3,2
13,2,11875,4,1,4
15,6,8836,4,4,3
15,3,2309,4,2,1
20,2,1100,2,1,1
25,5,12947,2,4,4
34,1,301,1,1,1
12,2,9083,5,1,3
14,6,1506,4,4,1
23,4,14369,2,3,5
3,3,6060,5,2,2
38,2,6734,1,1,3
26,4,1301,1,3,1
17,4,12395,3,3,4
11,5,13020,5,4,4
21,3,9876,2,2,4
37,2,11602,1,1,4
28,1,1377,1,1,1
14,5,10253,4,4,4
11,7,11187,5,5,4
14,6,5709,4,4,2
19,4,11485,2,3,4
16,5,7501,3,4,3
22,1,7060,2,1,3
11,2,4110,5,1,2
16,4,12042,3,3,4
12,4,11843,5,3,4
21,3,5018,2,2,2
16,4,8133,3,3,3
20,6,1117,2,4,1
1,6,17050,5,4,5
22,6,9483,2,4,3
14,6,19251,4,4,5
27,3,291,1,2,1
28,5,6862,1,4,3
25,3,6257,2,2,2
14,2,4992,4,1,2
14,2,2555,4,1,1
15,11,10036,4,5,4
13,6,5109,4,4,2
17,4,9784,3,3,4
11,5,4571,5,4,2
19,7,9548,2,5,3
12,2,8418,5,1,3
10,5,16605,5,4,5
18,3,12735,3,2,4
13,1,2807,4,1,1
18,4,12590,3,3,4
11,7,14340,5,5,5
22,4,5275,2,3,2
15,6,12724,4,4,4
16,3,8351,3,2,3
15,7,10802,4,5,4
26,5,8688,1,4,3
13,9,14709,4,5,5
15,8,4842,4,5,2
19,5,6582,2,4,2
26,2,7230,1,1,3
17,5,5824,3,4,2
11,7,24327,5,5,5
24,3,3740,2,2,1
14,1,6161,4,1,2
22,2,4768,2,1,2
4,3,11447,5,2,4
14,5,10770,4,4,4
31,2,4288,1,1,2
5,3,3459,5,2,1
25,5,17513,2,4,5
15,6,7920,4,4,3
13,2,3351,4,1,1
13,5,10500,4,4,4
10,1,3431,5,1,1
18,3,1991,3,2,1
19,6,15854,2,4,5
26,7,9363,1,5,3
34,2,7033,1,1,3
15,5,8643,4,4,3
16,7,7225,3,5,3
14,6,11333,4,4,4
23,2,1102,2,1,1
26,2,5210,1,1,2
27,2,1272,1,1,1
18,3,10809,3,2,4
22,3,2386,2,2,1
15,8,19764,4,5,5
14,5,18223,4,4,5
11,6,10696,5,4,4
13,8,14966,4,5,5
23,3,5362,2,2,2
2,7,18744,5,5,5
1,7,21550,5,5,5
6,5,5221,5,4,2
27,2,8035,1,1,3
39,2,1672,1,1,1
24,4,6907,2,3,3
24,4,4101,2,3,2
38,1,1407,1,1,1
3,6,17104,5,4,5
13,4,2476,4,3,1
12,3,2926,5,2,1
4,7,16915,5,5,5
11,3,3871,5,2,2
26,3,7396,1,2,3
27,1,2099,1,1,1
23,4,12829,2,3,4
12,10,15836,5,5,5
18,4,10709,3,3,4
17,5,5394,3,4,2
34,1,616,1,1,1
19,6,12889,2,4,4
11,5,15896,5,4,5
11,5,9262,5,4,3
16,8,5946,3,5,2
12,5,11990,5,4,4
12,7,11006,5,5,4
26,7,12037,1,5,4
35,1,1594,1,1,1
17,4,7237,3,3,3
14,4,3412,4,3,1
12,4,3059,5,3,1
13,6,23862,4,4,5
11,5,20754,5,4,5
15,6,7815,4,4,3
12,4,16881,5,3,5
12,6,5205,5,4,2
26,2,2846,1,1,1
14,4,1686,4,3,1
0,5,13236,5,4,4
21,5,22362,2,4,5
24,2,2053,2,1,1
35,3,3258,1,2,1
2,2,1464,5,1,1
14,4,10928,4,3,4
14,5,15747,4,4,5
20,5,18478,2,4,5
41,2,2040,1,1,1
16,4,5678,3,3,2
12,4,9011,5,3,3
16,4,7389,3,3,3
12,8,18298,5,5,5
14,6,5562,4,4,2
0,3,7548,5,2,3
12,3,8088,5,2,3
19,3,12381,2,2,4
3,6,4436,5,4,2
11,7,5074,5,5,2
35,2,2975,1,1,1
15,3,3785,4,2,1
15,2,5468,4,1,2
2,4,5291,5,3,2
12,4,15879,5,3,5
15,9,8581,4,5,3
32,5,8352,1,4,3
27,4,9402,1,3,3
16,3,6639,3,2,3
11,5,13149,5,4,4
18,6,7266,3,4,3
21,4,17064,2,3,5
14,1,4654,4,1,2
12,4,5250,5,3,2
4,5,25662,5,4,5
9,5,6043,5,4,2
24,6,10766,2,4,4
16,7,17975,3,5,5
1,8,17854,5,5,5
23,4,15990,2,3,5
17,4,9161,3,3,3
18,6,15265,3,4,5
9,7,3003,5,5,1
17,3,4568,3,2,2
15,3,6905,4,2,3
10,4,6300,5,3,2
10,4,6492,5,3,2
14,1,1097,4,1,1
17,5,4530,3,4,2
10,8,12917,5,5,4
6,7,7236,5,5,3
6,7,16298,5,5,5
25,2,2843,2,1,1
15,5,19393,4,4,5
31,6,20255,1,4,5
25,3,14211,2,2,5
16,6,4418,3,4,2
29,2,12490,1,1,4
16,1,1629,3,1,1
14,5,12595,4,4,4
8,4,14338,5,3,5
28,2,7983,1,1,3
33,2,6337,1,1,2
13,6,9724,4,4,4
2,6,4391,5,4,2
14,3,7571,4,2,3
22,1,3960,2,1,2
14,2,2702,4,1,1
24,5,6938,2,4,3
20,5,3245,2,4,1
15,3,7672,4,2,3
43,1,759,1,1,1
17,2,5026,3,1,2
25,4,6337,2,3,2
11,2,8617,5,1,3
10,4,4382,5,3,2
17,2,4173,3,1,2
3,5,18372,5,4,5
21,5,3575,2,4,1
41,1,5922,1,1,2
14,3,7972,4,2,3
16,6,12374,3,4,4
17,5,16705,3,4,5
25,6,5355,2,4,2
16,3,492,3,2,1
27,4,4698,1,3,2
