Recency,Frequency,Monetary,R,F,M
26,1,2552,1,1,1
14,5,2656,4,4,1
35,2,2522,1,1,1
16,4,4067,3,3,2
15,5,12638,4,4,4
12,4,4656,5,3,2
13,5,3592,4,4,1
17,3,2626,3,2,1
20,3,475,2,2,1
14,2,5202,4,1,2
23,2,3309,2,1,1
13,5,5213,4,4,2
12,7,7534,5,5,3
23,6,11437,2,4,4
24,3,3806,2,2,1
13,4,12947,4,3,4
37,1,7276,1,1,3
31,4,12938,1,3,4
13,7,22229,4,5,5
15,1,1345,4,1,1
19,7,13545,2,5,4
17,2,11075,3,1,4
14,4,10625,4,3,4
17,6,18894,3,4,5
32,4,13295,1,3,4
38,1,132,1,1,1
19,6,14932,2,4,5
13,6,13074,4,4,4
18,3,7550,3,2,3
30,4,8359,1,3,3
14,3,4657,4,2,2
16,7,5976,3,5,2
29,3,9695,1,2,4
21,6,9577,2,4,3
12,4,11221,5,3,4
16,4,12745,3,3,4
15,5,12851,4,4,4
14,3,8865,4,2,3
23,3,6268,2,2,2
17,4,5906,3,3,2
15,2,2937,4,1,1
27,1,1131,1,1,1
4,4,8225,5,3,3
25,4,4302,2,3,2
17,6,10358,3,4,4
15,3,15807,4,2,5
12,5,14635,5,4,5
15,7,7347,4,5,3
18,5,2581,3,4,1
22,6,12826,2,4,4
20,1,787,2,1,1
41,1,4254,1,1,2
14,5,21095,4,4,5
24,5,12724,2,4,4
13,2,2681,4,1,1
27,5,14234,1,4,5
12,5,6740,5,4,3
9,2,1818,5,1,1
13,3,5787,4,2,2
3,6,23417,5,4,5
12,9,26752,5,5,5
14,4,11073,4,3,4
34,2,5447,1,1,2
21,3,8705,2,2,3
25,6,6800,2,4,3
36,3,5889,1,2,2
17,3,9105,3,2,3
26,3,1533,1,2,1
18,3,10874,3,2,4
11,3,8954,5,2,3
11,6,9896,5,4,4
43,1,1939,1,1,1
16,2,3273,3,1,1
12,7,15482,5,5,5
15,6,15298,4,4,5
43,1,1024,1,1,1
14,5,5621,4,4,2
13,7,18712,4,5,5
16,2,7962,3,1,3
26,1,1232,1,1,1
16,4,4896,3,3,2
2,3,10756,5,2,4
18,2,2130,3,1,1
29,2,2329,1,1,1
11,5,15594,5,4,5
17,3,5742,3,2,2
11,2,1486,5,1,1
17,6,14765,3,4,5
13,4,12446,4,3,4
12,2,3239,5,1,1
15,4,5668,4,3,2
20,1,1332,2,1,1
7,7,17188,5,5,5
25,3,11974,2,2,4
24,3,16320,2,2,5
14,4,7186,4,3,3
14,6,15330,4,4,5
14,4,5750,4,3,2
24,10,13507,2,5,4
16,7,11391,3,5,4
29,3,13650,1,2,4
15,3,7251,4,2,3
12,3,10411,5,2,4
21,4,7865,2,3,3
16,7,6772,3,5,3
35,1,1648,1,1,1
14,6,5207,4,4,2
38,1,497,1,1,1
15,3,1113,4,2,1
14,5,13878,4,4,5
14,6,7869,4,4,3
14,2,4391,4,1,2
18,2,7923,3,1,3
11,4,9927,5,3,4
4,4,16378,5,3,5
17,6,12114,3,4,4
13,10,13313,4,5,4
19,3,9107,2,2,3
22,4,7420,2,3,3
12,6,16467,5,4,5
